ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2022-11-08 21:04:58 208m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.48938323
1 2E-8 -0.51365016
2 4E-8 -3.3003034
3 6E-8 -3.7168858
4 8E-8 -3.8018201
5 1E-7 -3.7371083
6 1.2E-7 -3.8058646
7 1.4E-7 -3.7451972
8 1.6E-7 -3.0374116
9 1.8E-7 -2.6976745
10 2E-7 -2.0303337
11 2.2E-7 -1.2497472
12 2.4E-7 -1.2173913
13 2.6E-7 -1.2173913
14 2.8E-7 -0.97067747
15 3E-7 -0.74418606
16 3.2E-7 -0.20222447
17 3.4E-7 0.088978768
18 3.6E-7 0.23458039
19 3.8E-7 0.29929222
20 4E-7 0.032355916
21 4.2E-7 0.064711832
22 4.4E-7 0.43276037
23 4.6E-7 0.59453995
24 4.8E-7 0.59453995
25 5E-7 0.59858444
26 5.2E-7 0.67542974
27 5.4E-7 0.81294238
28 5.6E-7 0.91809911
29 5.8E-7 1.0475228
30 6E-7 1.1243681
31 6.2E-7 0.83720932
32 6.4E-7 0.84125381
33 6.6E-7 0.63094036
34 6.8E-7 0.10515673
35 7E-7 0.40849344
36 7.2E-7 0.58240648
37 7.4E-7 0.056622853
38 7.6E-7 0.32760365
39 7.8E-7 0.50960567
40 8E-7 0.86147626
41 8.2E-7 1.3063701
42 8.4E-7 0.92618809
43 8.6E-7 0.90596564
44 8.8E-7 1.148635
45 9E-7 0.86552075
46 9.2E-7 0.90596564
47 9.4E-7 1.1931244
48 9.6E-7 1.1365015
49 9.8E-7 0.97472196
50 1E-6 0.96258849
51 1.02E-6 1.2093024
52 1.04E-6 1.3872599
53 1.06E-6 1.2942366
54 1.08E-6 1.3346815
55 1.1E-6 1.4236603
56 1.12E-6 1.2982811
57 1.14E-6 1.2012134
58 1.16E-6 1.2618807
59 1.18E-6 1.2740142
60 1.2E-6 1.140546
61 1.22E-6 1.0839232
62 1.24E-6 1.2093024
63 1.26E-6 1.2942366
64 1.28E-6 1.2497472
65 1.3E-6 1.2457028
66 1.32E-6 1.2780587
67 1.34E-6 1.2052579
68 1.36E-6 1.1203236
69 1.38E-6 1.1243681
70 1.4E-6 1.140546
71 1.42E-6 1.0556118
72 1.44E-6 0.98685543
73 1.46E-6 1.0232558
74 1.48E-6 1.0394338
75 1.5E-6 0.99089992
76 1.52E-6 0.97067747
77 1.54E-6 0.98685543
78 1.56E-6 0.93427707
79 1.58E-6 0.89383217
80 1.6E-6 0.92618809
81 1.62E-6 0.94641054
82 1.64E-6 0.87360973
83 1.66E-6 0.81294238
84 1.68E-6 0.79271994
85 1.7E-6 0.78058647
86 1.72E-6 0.74418606
87 1.74E-6 0.75631953
88 1.76E-6 0.768453
89 1.78E-6 0.68756321
90 1.8E-6 0.59858444
91 1.82E-6 0.6511628
92 1.84E-6 0.84125381
93 1.86E-6 0.95045503
94 1.88E-6 0.90192115
95 1.9E-6 0.79676443
96 1.92E-6 0.71991913
97 1.94E-6 0.67138525
98 1.96E-6 0.67947423
99 1.98E-6 0.71587464
100 2E-6 0.70778566
101 2.02E-6 0.67138525
102 2.04E-6 0.63498485
