ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2022-11-08 20:56:29 582m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0.000125 0.036400405
1 0.00012502 0.036400405
2 0.00012504 0.024266937
3 0.00012506 0.024266937
4 0.00012508 0.024266937
5 0.0001251 0.020222447
6 0.00012512 0.016177958
7 0.00012514 0.028311426
8 0.00012516 0.036400405
9 0.00012518 0.028311426
10 0.0001252 0.024266937
11 0.00012522 0.028311426
12 0.00012524 0.032355916
13 0.00012526 0.028311426
14 0.00012528 0.032355916
15 0.0001253 0.032355916
16 0.00012532 0.032355916
17 0.00012534 0.028311426
18 0.00012536 0.024266937
19 0.00012538 0.032355916
20 0.0001254 0.024266937
21 0.00012542 0.032355916
22 0.00012544 0.032355916
23 0.00012546 0.028311426
24 0.00012548 0.032355916
25 0.0001255 0.032355916
26 0.00012552 0.028311426
27 0.00012554 0.024266937
28 0.00012556 0.024266937
29 0.00012558 0.028311426
30 0.0001256 0.036400405
31 0.00012562 0.036400405
32 0.00012564 0.044489384
33 0.00012566 0.044489384
34 0.00012568 0.036400405
35 0.0001257 0.028311426
36 0.00012572 0.032355916
37 0.00012574 0.028311426
38 0.00012576 0.032355916
39 0.00012578 0.024266937
40 0.0001258 0.024266937
41 0.00012582 0.028311426
42 0.00012584 0.028311426
43 0.00012586 0.032355916
44 0.00012588 0.036400405
45 0.0001259 0.032355916
46 0.00012592 0.032355916
47 0.00012594 0.028311426
48 0.00012596 0.028311426
49 0.00012598 0.032355916
50 0.000126 0.036400405
51 0.00012602 0.036400405
52 0.00012604 0.040444895
53 0.00012606 0.044489384
54 0.00012608 0.036400405
55 0.0001261 0.032355916
56 0.00012612 0.032355916
57 0.00012614 0.032355916
58 0.00012616 0.032355916
59 0.00012618 0.028311426
60 0.0001262 0.032355916
61 0.00012622 0.020222447
62 0.00012624 0.016177958
63 0.00012626 0.016177958
64 0.00012628 0.024266937
65 0.0001263 0.036400405
66 0.00012632 0.040444895
67 0.00012634 0.032355916
68 0.00012636 0.028311426
69 0.00012638 0.028311426
70 0.0001264 0.028311426
71 0.00012642 0.028311426
72 0.00012644 0.024266937
73 0.00012646 0.028311426
74 0.00012648 0.028311426
75 0.0001265 0.028311426
76 0.00012652 0.028311426
77 0.00012654 0.032355916
78 0.00012656 0.028311426
79 0.00012658 0.020222447
80 0.0001266 0.024266937
81 0.00012662 0.028311426
82 0.00012664 0.036400405
83 0.00012666 0.024266937
84 0.00012668 0.024266937
85 0.0001267 0.024266937
86 0.00012672 0.028311426
87 0.00012674 0.024266937
88 0.00012676 0.028311426
89 0.00012678 0.024266937
90 0.0001268 0.024266937
91 0.00012682 0.032355916
92 0.00012684 0.036400405
93 0.00012686 0.032355916
94 0.00012688 0.028311426
95 0.0001269 0.028311426
96 0.00012692 0.028311426
97 0.00012694 0.032355916
98 0.00012696 0.032355916
99 0.00012698 0.024266937
100 0.000127 0.024266937
101 0.00012702 0.024266937
102 0.00012704 0.016177958
103 0.00012706 0.012133468
104 0.00012708 0.020222447
105 0.0001271 0.028311426
106 0.00012712 0.024266937
107 0.00012714 0.020222447
108 0.00012716 0.020222447
