ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2022-11-07 10:16:17 250m





Relative time HS4D-50(28994).Ch1
s V
0 0.12608247
2E-8 0.12628866
4E-8 0.12463917
6E-8 0.12690721
8E-8 0.12628866
1E-7 0.12886598
1.2E-7 0.12742268
1.4E-7 0.1285567
1.6E-7 0.12886598
1.8E-7 0.12876288
2E-7 0.12731959
2.2E-7 0.12907216
2.4E-7 0.12381443
2.6E-7 0.12618556
2.8E-7 0.12402062
3E-7 0.12690721
3.2E-7 0.12505154
3.4E-7 0.12536082
3.6E-7 0.12484536
3.8E-7 0.12505154
4E-7 0.12494845
4.2E-7 0.12484536
4.4E-7 0.1256701
4.6E-7 0.12597938
4.8E-7 0.12608247
5E-7 0.13298969
5.2E-7 0.1271134
5.4E-7 0.12731959
5.6E-7 0.12835051
5.8E-7 0.12587629
6E-7 0.12391752
6.2E-7 0.11917526
6.4E-7 0.11443299
6.6E-7 0.12350515
6.8E-7 0.12113402
7E-7 0.12463917
7.2E-7 0.12804123
7.4E-7 0.13103093
7.6E-7 0.13175257
7.8E-7 0.12742268
8E-7 0.12659794
8.2E-7 0.12350515
8.4E-7 0.12
8.6E-7 0.12061855
8.8E-7 0.11628866
9E-7 0.12979381
9.2E-7 0.12268041
9.4E-7 0.12690721
9.6E-7 0.1313402
9.8E-7 0.13824742
1E-6 0.12979381
1.02E-6 0.13329897
1.04E-6 0.12907216
1.06E-6 0.12762886
1.08E-6 0.1242268
1.1E-6 0.12061855
1.12E-6 0.12639175
1.14E-6 0.12773196
1.16E-6 0.1298969
1.18E-6 0.13051546
1.2E-6 0.1328866
1.22E-6 0.12927835
1.24E-6 0.12587629
1.26E-6 0.1242268
1.28E-6 0.12206185
1.3E-6 0.11979381
1.32E-6 0.11865979
1.34E-6 0.11927835
1.36E-6 0.11958763
1.38E-6 0.12113402
1.4E-6 0.11907216
1.42E-6 0.11721649
1.44E-6 0.11577319
1.46E-6 0.11381443
1.48E-6 0.11226804
1.5E-6 0.11443299
1.52E-6 0.11371134
1.54E-6 0.11680412
1.56E-6 0.12072165
1.58E-6 0.12371134
1.6E-6 0.12587629
1.62E-6 0.12639175
1.64E-6 0.12804123
1.66E-6 0.12907216
1.68E-6 0.13072165
1.7E-6 0.13515464
1.72E-6 0.13783505
1.74E-6 0.13979381
1.76E-6 0.14432989
1.78E-6 0.14484536
1.8E-6 0.14515464
1.82E-6 0.14515464
1.84E-6 0.14329897
1.86E-6 0.14051546
1.88E-6 0.13556701
1.9E-6 0.13340206
1.92E-6 0.13185567
1.94E-6 0.13257732
1.96E-6 0.13092783
1.98E-6 0.13020618
